City,Temperature (DegC),Cloudiness (%),Latitude,Longitude,Humidity (%),Wind Speed (mps)
Sam Chuk,28.89,93,14.76,100.09,85,2.24
Tigre,15.16,90,-34.43,-58.58,100,1.5
Bairiki Village,31.0,20,1.33,172.98,62,4.6
Batagay-Alyta,17.07,91,67.8,130.41,75,0.75
Marawi,28.89,21,8.0,124.29,77,0.89
Vao,21.11,17,-22.67,167.48,72,6.85
Gigmoto,28.78,100,13.78,124.39,76,3.67
Rocha,17.46,94,-34.48,-54.33,90,1.06
Revyakino,12.11,14,54.37,37.66,92,2.37
Pindobaçu,20.04,89,-10.74,-40.36,80,5.46
Sydney,13.1,73,-33.87,151.21,71,3.1
Phimai,27.68,20,15.22,102.49,94,3.09
Samagaltay,15.32,3,50.6,95.0,47,1.97
Pevek,6.95,8,69.7,170.31,69,1.98
Henties Bay,17.22,0,-22.12,14.28,21,0.45
Moura,21.0,0,38.14,-7.45,64,3.1
Laas,12.0,5,46.62,10.7,76,2.1
Nikolayevsk-on-Amur,24.59,15,53.14,140.73,61,1.47
Ucluelet,19.67,20,48.93,-125.55,68,6.2
Concepción,13.0,90,-36.83,-73.05,87,4.1
Nambutalai,28.63,100,9.72,79.0,70,0.91
Cotonou,24.82,99,6.37,2.42,85,5.0
Suntar,16.55,34,62.14,117.63,69,2.11
Loei,25.0,40,17.42,101.5,100,1.0
Noumea,23.0,90,-22.28,166.46,60,2.6
Palamuse,14.8,93,58.68,26.58,87,2.6
Antofagasta,14.0,90,-23.65,-70.4,71,3.1
Derzhavīnsk,22.33,16,51.1,66.32,64,4.44
Sant Julià de Loria,17.57,0,42.46,1.48,37,0.75
Kumul,28.49,52,42.8,93.45,15,4.02
Opuwo,11.53,0,-18.06,13.84,40,5.63
Tilichiki,10.8,98,60.47,166.1,93,0.69
Tecpan,19.88,40,14.76,-90.99,69,5.1
Beloha,14.89,0,-25.17,45.05,79,3.57
Erzurum Province,13.0,0,40.0,41.5,66,1.5
Saldanha,9.0,0,-33.01,17.94,87,1.0
Margate,17.41,33,51.38,1.39,85,2.54
Biograd na Moru,15.19,20,43.94,15.45,76,1.0
Morón,14.49,90,-34.65,-58.62,100,1.5
Taoudenni,37.63,3,22.68,-3.98,14,1.22
Othaya,9.44,84,-0.57,36.96,93,0.08
Mpika,9.46,1,-11.83,31.45,89,4.93
Soritor,19.76,12,-6.14,-77.1,81,0.47
Ust'-Karsk,16.83,100,52.7,118.81,91,1.87
